start,end
Source:RT,"Summary:India topped a report on countries with the largest number of emigrants to high-income OECD nations, with 407,000 Indians emigrating in 2021. The US issued the most passports to Indian immigrants (56,000), followed by Australia and Canada. India also has the second-largest number of international students in OECD countries, with over 424,000 studying abroad."
Author:RT,"Summary:India topped a report on countries with the largest number of emigrants to high-income OECD nations, with 407,000 Indians emigrating in 2021. The US issued the most passports to Indian immigrants (56,000), followed by Australia and Canada. India also has the second-largest number of international students in OECD countries, with over 424,000 studying abroad."
Category:Migration,"Summary:India topped a report on countries with the largest number of emigrants to high-income OECD nations, with 407,000 Indians emigrating in 2021. The US issued the most passports to Indian immigrants (56,000), followed by Australia and Canada. India also has the second-largest number of international students in OECD countries, with over 424,000 studying abroad."
Character:Indian nationals,"Summary:India topped a report on countries with the largest number of emigrants to high-income OECD nations, with 407,000 Indians emigrating in 2021. The US issued the most passports to Indian immigrants (56,000), followed by Australia and Canada. India also has the second-largest number of international students in OECD countries, with over 424,000 studying abroad."
Character:US,"Summary:India topped a report on countries with the largest number of emigrants to high-income OECD nations, with 407,000 Indians emigrating in 2021. The US issued the most passports to Indian immigrants (56,000), followed by Australia and Canada. India also has the second-largest number of international students in OECD countries, with over 424,000 studying abroad."
Character:Australia,"Summary:India topped a report on countries with the largest number of emigrants to high-income OECD nations, with 407,000 Indians emigrating in 2021. The US issued the most passports to Indian immigrants (56,000), followed by Australia and Canada. India also has the second-largest number of international students in OECD countries, with over 424,000 studying abroad."
Character:Canada,"Summary:India topped a report on countries with the largest number of emigrants to high-income OECD nations, with 407,000 Indians emigrating in 2021. The US issued the most passports to Indian immigrants (56,000), followed by Australia and Canada. India also has the second-largest number of international students in OECD countries, with over 424,000 studying abroad."
Source:RT,"Summary:The Indian government rejected the 2023 Global Hunger Report, which ranked India 111th out of 125 countries. The rejection was based on methodological issues and concerns over the accuracy of certain data points, particularly regarding child health indicators."
Author:RT,"Summary:The Indian government rejected the 2023 Global Hunger Report, which ranked India 111th out of 125 countries. The rejection was based on methodological issues and concerns over the accuracy of certain data points, particularly regarding child health indicators."
Category:Health,"Summary:The Indian government rejected the 2023 Global Hunger Report, which ranked India 111th out of 125 countries. The rejection was based on methodological issues and concerns over the accuracy of certain data points, particularly regarding child health indicators."
Character:Indian government,"Summary:The Indian government rejected the 2023 Global Hunger Report, which ranked India 111th out of 125 countries. The rejection was based on methodological issues and concerns over the accuracy of certain data points, particularly regarding child health indicators."
Character:Ministry of Women and Child Development,"Summary:The Indian government rejected the 2023 Global Hunger Report, which ranked India 111th out of 125 countries. The rejection was based on methodological issues and concerns over the accuracy of certain data points, particularly regarding child health indicators."
Character:Global Hunger Index,"Summary:The Indian government rejected the 2023 Global Hunger Report, which ranked India 111th out of 125 countries. The rejection was based on methodological issues and concerns over the accuracy of certain data points, particularly regarding child health indicators."
Source:ABC News,"Summary:A 5.2 magnitude earthquake and its aftershocks damaged houses and caused a landslide in Nepal's Dhading district, near Kathmandu. The tremors were also felt in the capital city and other provinces, causing panic among people. One woman was injured when she jumped from a building during the quake."
Author:The Associated Press,"Summary:A 5.2 magnitude earthquake and its aftershocks damaged houses and caused a landslide in Nepal's Dhading district, near Kathmandu. The tremors were also felt in the capital city and other provinces, causing panic among people. One woman was injured when she jumped from a building during the quake."
Category:Earthquake,"Summary:A 5.2 magnitude earthquake and its aftershocks damaged houses and caused a landslide in Nepal's Dhading district, near Kathmandu. The tremors were also felt in the capital city and other provinces, causing panic among people. One woman was injured when she jumped from a building during the quake."
Character:Hum Nath Parajuli,"Summary:A 5.2 magnitude earthquake and its aftershocks damaged houses and caused a landslide in Nepal's Dhading district, near Kathmandu. The tremors were also felt in the capital city and other provinces, causing panic among people. One woman was injured when she jumped from a building during the quake."
Character:One woman,"Summary:A 5.2 magnitude earthquake and its aftershocks damaged houses and caused a landslide in Nepal's Dhading district, near Kathmandu. The tremors were also felt in the capital city and other provinces, causing panic among people. One woman was injured when she jumped from a building during the quake."
Character:People,"Summary:A 5.2 magnitude earthquake and its aftershocks damaged houses and caused a landslide in Nepal's Dhading district, near Kathmandu. The tremors were also felt in the capital city and other provinces, causing panic among people. One woman was injured when she jumped from a building during the quake."
Source:CNN,"Summary:Mortgage rates fell slightly to 7.76% this week, ending a seven-week streak of increases. The Federal Reserve left its benchmark lending rate unchanged but may consider further hikes before year-end. This uncertainty and geopolitical factors are expected to impact the housing market."
Author:Anna Bahney,"Summary:Mortgage rates fell slightly to 7.76% this week, ending a seven-week streak of increases. The Federal Reserve left its benchmark lending rate unchanged but may consider further hikes before year-end. This uncertainty and geopolitical factors are expected to impact the housing market."
Category:Finance,"Summary:Mortgage rates fell slightly to 7.76% this week, ending a seven-week streak of increases. The Federal Reserve left its benchmark lending rate unchanged but may consider further hikes before year-end. This uncertainty and geopolitical factors are expected to impact the housing market."
Character:Sam Khater,"Summary:Mortgage rates fell slightly to 7.76% this week, ending a seven-week streak of increases. The Federal Reserve left its benchmark lending rate unchanged but may consider further hikes before year-end. This uncertainty and geopolitical factors are expected to impact the housing market."
Character:Jerome Powell,"Summary:Mortgage rates fell slightly to 7.76% this week, ending a seven-week streak of increases. The Federal Reserve left its benchmark lending rate unchanged but may consider further hikes before year-end. This uncertainty and geopolitical factors are expected to impact the housing market."
Character:Bob Broeksmit,"Summary:Mortgage rates fell slightly to 7.76% this week, ending a seven-week streak of increases. The Federal Reserve left its benchmark lending rate unchanged but may consider further hikes before year-end. This uncertainty and geopolitical factors are expected to impact the housing market."
Source:The Times of India,"Summary:Residents from villages along the India-Nepal border smuggle rice into Nepal, earning up to Rs 300 per quintal. The activity is mostly carried out by young unemployed men and women during early morning and late afternoon hours. Authorities have seized over 111.2 tonnes of smuggled rice in the last four months. Prices of rice have increased due to smuggling, prompting local authorities to intensify efforts to curb the illegal trade."
Author:PTI,"Summary:Residents from villages along the India-Nepal border smuggle rice into Nepal, earning up to Rs 300 per quintal. The activity is mostly carried out by young unemployed men and women during early morning and late afternoon hours. Authorities have seized over 111.2 tonnes of smuggled rice in the last four months. Prices of rice have increased due to smuggling, prompting local authorities to intensify efforts to curb the illegal trade."
Category:Economy,"Summary:Residents from villages along the India-Nepal border smuggle rice into Nepal, earning up to Rs 300 per quintal. The activity is mostly carried out by young unemployed men and women during early morning and late afternoon hours. Authorities have seized over 111.2 tonnes of smuggled rice in the last four months. Prices of rice have increased due to smuggling, prompting local authorities to intensify efforts to curb the illegal trade."
Character:Ram Prasad,"Summary:Residents from villages along the India-Nepal border smuggle rice into Nepal, earning up to Rs 300 per quintal. The activity is mostly carried out by young unemployed men and women during early morning and late afternoon hours. Authorities have seized over 111.2 tonnes of smuggled rice in the last four months. Prices of rice have increased due to smuggling, prompting local authorities to intensify efforts to curb the illegal trade."
Character:Suraj Jaiswal,"Summary:Residents from villages along the India-Nepal border smuggle rice into Nepal, earning up to Rs 300 per quintal. The activity is mostly carried out by young unemployed men and women during early morning and late afternoon hours. Authorities have seized over 111.2 tonnes of smuggled rice in the last four months. Prices of rice have increased due to smuggling, prompting local authorities to intensify efforts to curb the illegal trade."
Character:Anunaya Jha,"Summary:Residents from villages along the India-Nepal border smuggle rice into Nepal, earning up to Rs 300 per quintal. The activity is mostly carried out by young unemployed men and women during early morning and late afternoon hours. Authorities have seized over 111.2 tonnes of smuggled rice in the last four months. Prices of rice have increased due to smuggling, prompting local authorities to intensify efforts to curb the illegal trade."
Source:The Times of India,"Summary:The Bar Council of India (BCI) approached the Delhi High Court to challenge an earlier order allowing a South Korean national, Daeyoung Jung, to be enrolled as an advocate in India. BCI argued that this could lead to reciprocal issues and floodgates for other foreign lawyers. However, the court disagreed, stating that since Indians can practice law in South Korea, Jung is entitled to practice in India."
Author:TNN,"Summary:The Bar Council of India (BCI) approached the Delhi High Court to challenge an earlier order allowing a South Korean national, Daeyoung Jung, to be enrolled as an advocate in India. BCI argued that this could lead to reciprocal issues and floodgates for other foreign lawyers. However, the court disagreed, stating that since Indians can practice law in South Korea, Jung is entitled to practice in India."
Category:Legal,"Summary:The Bar Council of India (BCI) approached the Delhi High Court to challenge an earlier order allowing a South Korean national, Daeyoung Jung, to be enrolled as an advocate in India. BCI argued that this could lead to reciprocal issues and floodgates for other foreign lawyers. However, the court disagreed, stating that since Indians can practice law in South Korea, Jung is entitled to practice in India."
Character:Manan Kumar Mishra,"Summary:The Bar Council of India (BCI) approached the Delhi High Court to challenge an earlier order allowing a South Korean national, Daeyoung Jung, to be enrolled as an advocate in India. BCI argued that this could lead to reciprocal issues and floodgates for other foreign lawyers. However, the court disagreed, stating that since Indians can practice law in South Korea, Jung is entitled to practice in India."
Character:Daeyoung Jung,"Summary:The Bar Council of India (BCI) approached the Delhi High Court to challenge an earlier order allowing a South Korean national, Daeyoung Jung, to be enrolled as an advocate in India. BCI argued that this could lead to reciprocal issues and floodgates for other foreign lawyers. However, the court disagreed, stating that since Indians can practice law in South Korea, Jung is entitled to practice in India."
Character:Chief Justice Satish Chandra Sharma,"Summary:The Bar Council of India (BCI) approached the Delhi High Court to challenge an earlier order allowing a South Korean national, Daeyoung Jung, to be enrolled as an advocate in India. BCI argued that this could lead to reciprocal issues and floodgates for other foreign lawyers. However, the court disagreed, stating that since Indians can practice law in South Korea, Jung is entitled to practice in India."
Character:Justice Sanjeev Narula,"Summary:The Bar Council of India (BCI) approached the Delhi High Court to challenge an earlier order allowing a South Korean national, Daeyoung Jung, to be enrolled as an advocate in India. BCI argued that this could lead to reciprocal issues and floodgates for other foreign lawyers. However, the court disagreed, stating that since Indians can practice law in South Korea, Jung is entitled to practice in India."
Source:ABC News,"Summary:The article highlights various cultural and celebratory events across Asia, including traditional Garba dance practices in India, tributes to fallen Nepali nationals in Israel, and the closing ceremony of the Asian Games in China. These images were curated by AP photo editor Shuji Kajiyama."
Author:The Associated Press,"Summary:The article highlights various cultural and celebratory events across Asia, including traditional Garba dance practices in India, tributes to fallen Nepali nationals in Israel, and the closing ceremony of the Asian Games in China. These images were curated by AP photo editor Shuji Kajiyama."
Category:Culture,"Summary:The article highlights various cultural and celebratory events across Asia, including traditional Garba dance practices in India, tributes to fallen Nepali nationals in Israel, and the closing ceremony of the Asian Games in China. These images were curated by AP photo editor Shuji Kajiyama."
Character:Indians,"Summary:The article highlights various cultural and celebratory events across Asia, including traditional Garba dance practices in India, tributes to fallen Nepali nationals in Israel, and the closing ceremony of the Asian Games in China. These images were curated by AP photo editor Shuji Kajiyama."
Character:Students from Nepal,"Summary:The article highlights various cultural and celebratory events across Asia, including traditional Garba dance practices in India, tributes to fallen Nepali nationals in Israel, and the closing ceremony of the Asian Games in China. These images were curated by AP photo editor Shuji Kajiyama."
Character:Artists,"Summary:The article highlights various cultural and celebratory events across Asia, including traditional Garba dance practices in India, tributes to fallen Nepali nationals in Israel, and the closing ceremony of the Asian Games in China. These images were curated by AP photo editor Shuji Kajiyama."
Source:CNN,"Summary:The article details how Israelis, including Ben, Guy, and Ilan Fisher, return to Israel from abroad after Hamas attacks a music festival. They are either called up for military service or help with supplies and neighborhood watches due to the escalating conflict."
"Author:Lianne Kolirin, Issy Ronald","Summary:The article details how Israelis, including Ben, Guy, and Ilan Fisher, return to Israel from abroad after Hamas attacks a music festival. They are either called up for military service or help with supplies and neighborhood watches due to the escalating conflict."
Category:Conflict,"Summary:The article details how Israelis, including Ben, Guy, and Ilan Fisher, return to Israel from abroad after Hamas attacks a music festival. They are either called up for military service or help with supplies and neighborhood watches due to the escalating conflict."
Character:Ben,"Summary:The article details how Israelis, including Ben, Guy, and Ilan Fisher, return to Israel from abroad after Hamas attacks a music festival. They are either called up for military service or help with supplies and neighborhood watches due to the escalating conflict."
Character:Guy,"Summary:The article details how Israelis, including Ben, Guy, and Ilan Fisher, return to Israel from abroad after Hamas attacks a music festival. They are either called up for military service or help with supplies and neighborhood watches due to the escalating conflict."
Character:Ilan Fisher,"Summary:The article details how Israelis, including Ben, Guy, and Ilan Fisher, return to Israel from abroad after Hamas attacks a music festival. They are either called up for military service or help with supplies and neighborhood watches due to the escalating conflict."
Source:CNN,"Summary:A flash flood caused by a glacial lake outburst in Sikkim, India's Himalayas, resulted in 74 deaths and left 101 people missing. Torrential rain triggered the disaster, damaging infrastructure and causing widespread destruction. The search for survivors was hindered by poor conditions. Scientists warn that extreme weather events are becoming more frequent due to climate change."
Author:Reuters,"Summary:A flash flood caused by a glacial lake outburst in Sikkim, India's Himalayas, resulted in 74 deaths and left 101 people missing. Torrential rain triggered the disaster, damaging infrastructure and causing widespread destruction. The search for survivors was hindered by poor conditions. Scientists warn that extreme weather events are becoming more frequent due to climate change."
Category:Disaster,"Summary:A flash flood caused by a glacial lake outburst in Sikkim, India's Himalayas, resulted in 74 deaths and left 101 people missing. Torrential rain triggered the disaster, damaging infrastructure and causing widespread destruction. The search for survivors was hindered by poor conditions. Scientists warn that extreme weather events are becoming more frequent due to climate change."
Character:Vijay Bhushan Pathak,"Summary:A flash flood caused by a glacial lake outburst in Sikkim, India's Himalayas, resulted in 74 deaths and left 101 people missing. Torrential rain triggered the disaster, damaging infrastructure and causing widespread destruction. The search for survivors was hindered by poor conditions. Scientists warn that extreme weather events are becoming more frequent due to climate change."
Character:Parveen Shama,"Summary:A flash flood caused by a glacial lake outburst in Sikkim, India's Himalayas, resulted in 74 deaths and left 101 people missing. Torrential rain triggered the disaster, damaging infrastructure and causing widespread destruction. The search for survivors was hindered by poor conditions. Scientists warn that extreme weather events are becoming more frequent due to climate change."
Character:Mukesh Kumar,"Summary:A flash flood caused by a glacial lake outburst in Sikkim, India's Himalayas, resulted in 74 deaths and left 101 people missing. Torrential rain triggered the disaster, damaging infrastructure and causing widespread destruction. The search for survivors was hindered by poor conditions. Scientists warn that extreme weather events are becoming more frequent due to climate change."
Source:The Times of India,"Summary:The Government of Nepal has evacuated 254 students from Israel amid the ongoing conflict between Israel and Hamas. The students were stranded due to the war and had to seek refuge in bunkers for days. The Nepal Airlines aircraft landed in Kathmandu, marking the first batch of evacuees. The government plans further arrangements to bring back more citizens."
Author:ANI,"Summary:The Government of Nepal has evacuated 254 students from Israel amid the ongoing conflict between Israel and Hamas. The students were stranded due to the war and had to seek refuge in bunkers for days. The Nepal Airlines aircraft landed in Kathmandu, marking the first batch of evacuees. The government plans further arrangements to bring back more citizens."
Category:International,"Summary:The Government of Nepal has evacuated 254 students from Israel amid the ongoing conflict between Israel and Hamas. The students were stranded due to the war and had to seek refuge in bunkers for days. The Nepal Airlines aircraft landed in Kathmandu, marking the first batch of evacuees. The government plans further arrangements to bring back more citizens."
Character:NP Saud,"Summary:The Government of Nepal has evacuated 254 students from Israel amid the ongoing conflict between Israel and Hamas. The students were stranded due to the war and had to seek refuge in bunkers for days. The Nepal Airlines aircraft landed in Kathmandu, marking the first batch of evacuees. The government plans further arrangements to bring back more citizens."
Character:Krishna Acharya,"Summary:The Government of Nepal has evacuated 254 students from Israel amid the ongoing conflict between Israel and Hamas. The students were stranded due to the war and had to seek refuge in bunkers for days. The Nepal Airlines aircraft landed in Kathmandu, marking the first batch of evacuees. The government plans further arrangements to bring back more citizens."
Character:Sobha Paswan,"Summary:The Government of Nepal has evacuated 254 students from Israel amid the ongoing conflict between Israel and Hamas. The students were stranded due to the war and had to seek refuge in bunkers for days. The Nepal Airlines aircraft landed in Kathmandu, marking the first batch of evacuees. The government plans further arrangements to bring back more citizens."
Source:The Times of India,"Summary:Two earthquakes with magnitudes 6.3 and 5.3 struck western Nepal, injuring 17 people and causing a landslide that blocked a major highway. The tremors were felt in Delhi as well."
Author:Reuters,"Summary:Two earthquakes with magnitudes 6.3 and 5.3 struck western Nepal, injuring 17 people and causing a landslide that blocked a major highway. The tremors were felt in Delhi as well."
Category:Disaster,"Summary:Two earthquakes with magnitudes 6.3 and 5.3 struck western Nepal, injuring 17 people and causing a landslide that blocked a major highway. The tremors were felt in Delhi as well."
Character:Rama Acharya,"Summary:Two earthquakes with magnitudes 6.3 and 5.3 struck western Nepal, injuring 17 people and causing a landslide that blocked a major highway. The tremors were felt in Delhi as well."
Character:Dipesh Chaudhary,"Summary:Two earthquakes with magnitudes 6.3 and 5.3 struck western Nepal, injuring 17 people and causing a landslide that blocked a major highway. The tremors were felt in Delhi as well."
Character:Narayan Pandey,"Summary:Two earthquakes with magnitudes 6.3 and 5.3 struck western Nepal, injuring 17 people and causing a landslide that blocked a major highway. The tremors were felt in Delhi as well."
Source:The Times of India,"Summary:Amit Syngle, CEO of Asian Paints, expects a positive Q3 with double-digit volume growth due to deferred demand and a longer festival season. He mentions that rural demand has been depressed while tier I and II cities have grown faster than T3 and T4 cities. The company maintains its 18-20% PBIT margin guidance despite potential price hikes from raw material inflation."
Author:ET Now,"Summary:Amit Syngle, CEO of Asian Paints, expects a positive Q3 with double-digit volume growth due to deferred demand and a longer festival season. He mentions that rural demand has been depressed while tier I and II cities have grown faster than T3 and T4 cities. The company maintains its 18-20% PBIT margin guidance despite potential price hikes from raw material inflation."
Category:Business,"Summary:Amit Syngle, CEO of Asian Paints, expects a positive Q3 with double-digit volume growth due to deferred demand and a longer festival season. He mentions that rural demand has been depressed while tier I and II cities have grown faster than T3 and T4 cities. The company maintains its 18-20% PBIT margin guidance despite potential price hikes from raw material inflation."
Character:Amit Syngle,"Summary:Amit Syngle, CEO of Asian Paints, expects a positive Q3 with double-digit volume growth due to deferred demand and a longer festival season. He mentions that rural demand has been depressed while tier I and II cities have grown faster than T3 and T4 cities. The company maintains its 18-20% PBIT margin guidance despite potential price hikes from raw material inflation."
Source:The Times of India,"Summary:Nepalese Prime Minister Pushpa Kamal Dahal 'Prachanda' discussed various projects with Chinese leaders, including transmission lines and solar power plants. However, progress on these projects has been slow compared to Indian-funded initiatives in Nepal. India's grant assistance to Nepal totals around $63 billion, while China's Belt and Road Initiative (BRI) projects have seen little implementation."
Author:Dipanjan Roy Chaudhury,"Summary:Nepalese Prime Minister Pushpa Kamal Dahal 'Prachanda' discussed various projects with Chinese leaders, including transmission lines and solar power plants. However, progress on these projects has been slow compared to Indian-funded initiatives in Nepal. India's grant assistance to Nepal totals around $63 billion, while China's Belt and Road Initiative (BRI) projects have seen little implementation."
Category:Politics,"Summary:Nepalese Prime Minister Pushpa Kamal Dahal 'Prachanda' discussed various projects with Chinese leaders, including transmission lines and solar power plants. However, progress on these projects has been slow compared to Indian-funded initiatives in Nepal. India's grant assistance to Nepal totals around $63 billion, while China's Belt and Road Initiative (BRI) projects have seen little implementation."
Character:Pushpa Kamal Dahal 'Prachanda',"Summary:Nepalese Prime Minister Pushpa Kamal Dahal 'Prachanda' discussed various projects with Chinese leaders, including transmission lines and solar power plants. However, progress on these projects has been slow compared to Indian-funded initiatives in Nepal. India's grant assistance to Nepal totals around $63 billion, while China's Belt and Road Initiative (BRI) projects have seen little implementation."
Character:Chinese leaders,"Summary:Nepalese Prime Minister Pushpa Kamal Dahal 'Prachanda' discussed various projects with Chinese leaders, including transmission lines and solar power plants. However, progress on these projects has been slow compared to Indian-funded initiatives in Nepal. India's grant assistance to Nepal totals around $63 billion, while China's Belt and Road Initiative (BRI) projects have seen little implementation."
Character:Nepalese leaders,"Summary:Nepalese Prime Minister Pushpa Kamal Dahal 'Prachanda' discussed various projects with Chinese leaders, including transmission lines and solar power plants. However, progress on these projects has been slow compared to Indian-funded initiatives in Nepal. India's grant assistance to Nepal totals around $63 billion, while China's Belt and Road Initiative (BRI) projects have seen little implementation."
Source:The Times of India,"Summary:Rajat Sharma, CEO of Sana Securities, discusses his portfolio allocation and highlights Bandhan Bank as a key holding due to its unique growth in deposits and cheap valuation. He also mentions Panacea Biotech as another interesting stock addition."
Author:ET Now,"Summary:Rajat Sharma, CEO of Sana Securities, discusses his portfolio allocation and highlights Bandhan Bank as a key holding due to its unique growth in deposits and cheap valuation. He also mentions Panacea Biotech as another interesting stock addition."
Category:Finance,"Summary:Rajat Sharma, CEO of Sana Securities, discusses his portfolio allocation and highlights Bandhan Bank as a key holding due to its unique growth in deposits and cheap valuation. He also mentions Panacea Biotech as another interesting stock addition."
Character:Rajat Sharma,"Summary:Rajat Sharma, CEO of Sana Securities, discusses his portfolio allocation and highlights Bandhan Bank as a key holding due to its unique growth in deposits and cheap valuation. He also mentions Panacea Biotech as another interesting stock addition."
Character:Sana Securities,"Summary:Rajat Sharma, CEO of Sana Securities, discusses his portfolio allocation and highlights Bandhan Bank as a key holding due to its unique growth in deposits and cheap valuation. He also mentions Panacea Biotech as another interesting stock addition."
Character:Bandhan Bank,"Summary:Rajat Sharma, CEO of Sana Securities, discusses his portfolio allocation and highlights Bandhan Bank as a key holding due to its unique growth in deposits and cheap valuation. He also mentions Panacea Biotech as another interesting stock addition."
Character:Panacea Biotech,"Summary:Rajat Sharma, CEO of Sana Securities, discusses his portfolio allocation and highlights Bandhan Bank as a key holding due to its unique growth in deposits and cheap valuation. He also mentions Panacea Biotech as another interesting stock addition."
Source:RT,"Summary:Ayodhya is experiencing a significant economic boom due to the construction of Shri Ram temple and related infrastructure projects. The town expects an annual footfall of 40 million pilgrims, leading to employment opportunities and business growth. Private investors are showing interest in the hospitality sector, while local residents anticipate an economic uplift."
Author:RT,"Summary:Ayodhya is experiencing a significant economic boom due to the construction of Shri Ram temple and related infrastructure projects. The town expects an annual footfall of 40 million pilgrims, leading to employment opportunities and business growth. Private investors are showing interest in the hospitality sector, while local residents anticipate an economic uplift."
Category:Economy,"Summary:Ayodhya is experiencing a significant economic boom due to the construction of Shri Ram temple and related infrastructure projects. The town expects an annual footfall of 40 million pilgrims, leading to employment opportunities and business growth. Private investors are showing interest in the hospitality sector, while local residents anticipate an economic uplift."
Character:Yogi Adityanath,"Summary:Ayodhya is experiencing a significant economic boom due to the construction of Shri Ram temple and related infrastructure projects. The town expects an annual footfall of 40 million pilgrims, leading to employment opportunities and business growth. Private investors are showing interest in the hospitality sector, while local residents anticipate an economic uplift."
Character:Sunil Rastogi,"Summary:Ayodhya is experiencing a significant economic boom due to the construction of Shri Ram temple and related infrastructure projects. The town expects an annual footfall of 40 million pilgrims, leading to employment opportunities and business growth. Private investors are showing interest in the hospitality sector, while local residents anticipate an economic uplift."
Character:Ashraf Hafeez,"Summary:Ayodhya is experiencing a significant economic boom due to the construction of Shri Ram temple and related infrastructure projects. The town expects an annual footfall of 40 million pilgrims, leading to employment opportunities and business growth. Private investors are showing interest in the hospitality sector, while local residents anticipate an economic uplift."
Source:The Times of India,"Summary:Two earthquakes, with magnitudes 6.2 and 4.6 on the Richter Scale, hit Nepal, causing tremors in parts of India including Delhi, Uttarakhand, Punjab, Chandigarh, and Jaipur. No reported loss of life or property. The National Centre for Seismology reported aftershocks and advised people to stay safe."
Author:ET Online,"Summary:Two earthquakes, with magnitudes 6.2 and 4.6 on the Richter Scale, hit Nepal, causing tremors in parts of India including Delhi, Uttarakhand, Punjab, Chandigarh, and Jaipur. No reported loss of life or property. The National Centre for Seismology reported aftershocks and advised people to stay safe."
Category:Earthquake,"Summary:Two earthquakes, with magnitudes 6.2 and 4.6 on the Richter Scale, hit Nepal, causing tremors in parts of India including Delhi, Uttarakhand, Punjab, Chandigarh, and Jaipur. No reported loss of life or property. The National Centre for Seismology reported aftershocks and advised people to stay safe."
Character:Sanjay Kumar Prajapati,"Summary:Two earthquakes, with magnitudes 6.2 and 4.6 on the Richter Scale, hit Nepal, causing tremors in parts of India including Delhi, Uttarakhand, Punjab, Chandigarh, and Jaipur. No reported loss of life or property. The National Centre for Seismology reported aftershocks and advised people to stay safe."
Character:Delhi Police,"Summary:Two earthquakes, with magnitudes 6.2 and 4.6 on the Richter Scale, hit Nepal, causing tremors in parts of India including Delhi, Uttarakhand, Punjab, Chandigarh, and Jaipur. No reported loss of life or property. The National Centre for Seismology reported aftershocks and advised people to stay safe."
Character:Punit Goenka,"Summary:Two earthquakes, with magnitudes 6.2 and 4.6 on the Richter Scale, hit Nepal, causing tremors in parts of India including Delhi, Uttarakhand, Punjab, Chandigarh, and Jaipur. No reported loss of life or property. The National Centre for Seismology reported aftershocks and advised people to stay safe."
Source:The Times of India,"Summary:The article discusses a flash flood caused by a burst glacial lake in Sikkim, India. It highlights the impact on infrastructure and settlements along the Teesta river valley, including the destruction of bridges and roads. The incident is compared to other major GLOF events in the Himalayas, emphasizing the need for risk mitigation measures. Experts like Vijay Bhushan Pathak, Miriam Jackson, Arun B Shrestha, and others are mentioned in relation to the event and its implications."
Author:PTI,"Summary:The article discusses a flash flood caused by a burst glacial lake in Sikkim, India. It highlights the impact on infrastructure and settlements along the Teesta river valley, including the destruction of bridges and roads. The incident is compared to other major GLOF events in the Himalayas, emphasizing the need for risk mitigation measures. Experts like Vijay Bhushan Pathak, Miriam Jackson, Arun B Shrestha, and others are mentioned in relation to the event and its implications."
